"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","manf#"
"C1","1","10uF","","","",""
"C2,C4,C5","3","1uF","","","",""
"C3,C6,C9,C10,C12,C14,C15,C17,C19,C20,C22,C24","12","100nF","","","",""
"C7,C8","2","9pF","","","",""
"C11,C16,C21","3","4.7nF","","","",""
"C13,C18,C23","3","1nF","DNP","","",""
"D1,D2,D6,D7,D8,D9,D13,D14","8","WS2812B-2020","","","","WS2812B-2020"
"D3,D10,D15","3","NUP2105L","","","","NUP2105L"
"D4,D11,D16","3","D","","","","BAS321,115"
"D5,D12,D17","3","ESD1LIN24","","","","ESD1LIN24"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","USB4105-GF-A-120"
"J2","1","STM32 SWD","","","","FTSH-107-01-L-DV-K-A-P-TR"
"J3,J4,J5","3","DE9_Pins_MountingHoles","","","","LD09P33E4GX00LF"
"Q1","1","BSS123","","","","BSS123"
"Q2,Q4,Q6","3","YJL2301F","","","","YJL2301F"
"Q3,Q5,Q7","3","MMBT2222A","","","","MMBT2222A"
"R1,R2,R11,R20,R29","5","10k","","","",""
"R3,R13,R22,R31","4","47k","","","",""
"R4","1","10k","DNP","","",""
"R5,R6","2","5.1k","","","",""
"R8,R10,R17,R19,R26,R28","6","56R","","","",""
"R9,R18,R27","3","6k8","","","",""
"R12,R21,R30","3","120R","","","",""
"R14,R23,R32","3","3k3","","","",""
"R15,R24,R33","3","1k","","","",""
"U1","1","AP2112K-3.3","","","","AP2112K-3.3TRG1"
"U2","1","STM32G474RETx","","","","STM32G474RET6"
"U3,U5,U7,U9,U11,U13","6","EPR411A064000EZ","","","","EPR411A064000EZ"
"U4,U8,U12","3","MCP2542FDxMF","","","","MCP2542FD-E/SN"
"U6,U10,U14","3","TJA1021xT","","","","TJA1021T/20/C,118"
"U15","1","USBLC6-2SC6","","","","USBLC6-2SC6"
"Y1","1","24Mhz","","","","WTL3M23500RH"
